Name
Robert Duvall
Marlon Brando
Robert De Niro
Laurence Olivier
Rod Steiger
Jack Nicholson
Paul Muni
Gene Hackman
Charles Laughton
Dustin Hoffman
Daniel Day-Lewis
Al Pacino
Spencer Tracy
Anthony Hopkins
James Stewart
Gary Cooper
William Hurt
Ben Kingsley
Tom Hanks
Russell Crowe
Sean Penn
Humphrey Bogart
Kirk Douglas
Kevin Spacey
Philip Seymour Hoffman
Gregory Peck
Henry Fonda
Geoffrey Rush
Jeremy Irons
Paul Newman
Clark Gable
Cary Grant
Burt Lancaster
Edward G. Robinson
Jack Lemmon
George C. Scott
John Wayne
Sidney Poitier
Alec Guinness
Orson Welles
Emil Jannings
Robert Donat
Fredric March
Yul Brynner
Christian Bale
James Cagney
Richard Burton
Robert Mitchum
Denzel Washington
Leonardo DiCaprio
Harrison Ford
Charlton Heston
Peter O'Toole
Robin Williams
Christoph Waltz
Steve McQueen
William Holden
Charles Chaplin
F. Murray Abraham
Nicolas Cage
Jon Voight
Michael Caine
Peter Sellers
Walter Brennan
Christopher Walken
Tim Robbins
Javier Bardem
Gary Oldman
Jeff Bridges
Tommy Lee Jones
William Powell
Lionel Barrymore
Cliff Robertson
James Mason
Johnny Depp
Buster Keaton
Clint Eastwood
Sean Connery
Jason Robards
Peter Finch
Alan Arkin
Heath Ledger
Joe Pesci
Jamie Foxx
Joaquin Phoenix
Colin Firth
Morgan Freeman
Peter Ustinov
Barry Fitzgerald
Matthew McConaughey
Benicio Del Toro
John Malkovich
Brad Pitt
Ian McKellen
Michael Keaton
Michael Douglas
Harvey Keitel
Forest Whitaker
Billy Bob Thornton
Mel Gibson
Gene Kelly
Bill Murray
Tom Cruise
Martin Sheen
Kevin Costner
Walter Huston
Jim Carrey
Robert Downey Jr.
Anthony Quinn
Melvyn Douglas
Hugo Weaving
Christopher Lee
Ernest Borgnine
Burl Ives
Ronald Colman
James Dean
Tony Curtis
Yul Brynner
Broderick Crawford
David Niven
Christopher Plummer
Jean Gabin
Ralph Fiennes
Kevin Kline
Michael Fassbender
Alan Rickman
George Clooney
Ed Harris
Robert Redford
Will Smith
Rex Harrison
Roberto Benigni
Toshirô Mifune
Tatsuya Nakadai
Mads Mikkelsen
Max von Sydow
Errol Flynn
Bruno Ganz
Lee Marvin
John Travolta
Vincent Cassel
James Coburn
Donald Crisp
Richard Dreyfuss
Klaus Kinski
Ray Milland
Chow Yun-Fat
Charles Coburn
Van Heflin
Peter Lorre
Bing Crosby
Alain Delon
Victor McLaglen
Hugh Griffith
Yves Montand
Gérard Depardieu
Ed Begley Jr.
Fred Astaire
Jude Law
Jared Leto
Eddie Redmayne
Paul Scofield
Art Carney
Jack Palance
Hugh Jackman
Jean Dujardin
Adrien Brody
Albert Finney
Maximilian Schell
José Ferrer
Omar Sharif
Bradley Cooper
Walter Matthau
Paul Lukas
Wallace Beery
George Arliss
Timothy Hutton
Benedict Cumberbatch
Tom Hardy
Peter Dinklage
Jonah Hill
John Hurt
James Franco
Kurt Russell
Warner Baxter
Chris Cooper
Louis Gossett Jr.
Matt Damon
Ben Affleck
Patrick Stewart
Liam Neeson
Charles Boyer
Warren Beatty
Bryan Cranston
Joel Grey
Jeff Goldblum
Richard Attenborough
Jim Broadbent
Cuba Gooding Jr.
Martin Landau
Jesse Eisenberg
Don Ameche
Haing S. Ngor
John Houseman
Ethan Hawke
Mark Ruffalo
John Mills
Ben Johnson
J.K. Simmons
Mark Rylance
Shah Rukh Khan
Charles Bickford
Claude Rains
Arthur Kennedy
Justin Henry
Jack Albertson
George Kennedy
Martin Balsam
George Chakiris
Gig Young
Red Buttons
George Sanders
Ryan Gosling
John Cazale
Viggo Mortensen
Frank Sinatra
Eli Wallach
Edmond O'Brien
Lee Van Cleef
Karl Malden
Harold Russell
Nick Nolte
Edmund Gwenn
Bob Hoskins
Amitabh Bachchan
Dean Jagger
James Dunn
Thomas Mitchell
Haley Joel Osment
Jake Gyllenhaal
Joseph Schildkraut
Hugh Grant
Keanu Reeves
Channing Tatum
Dwayne Johnson
Joseph Gordon-Levitt
Aamir Khan
Chris Pine
Woody Allen
Don Cheadle
Jeremy Renner
Steve Carell
Anil Kapoor
Shia LaBeouf
Willem Dafoe
James Caan
Jason Statham
Owen Wilson
Mickey Rourke
Liam Hemsworth
Sanjay Dutt
Salman Khan
Michael Clarke Duncan
John C. Reilly
Alan Alda
Alec Baldwin
Adolphe Menjou
Richard Jenkins
Gerard Butler
Karl Urban
Bruce Dern
Chiwetel Ejiofor
Demián Bichir
Greg Kinnear
Robert Forster
Armin Mueller-Stahl
Donald Pleasence
James Woods
William H. Macy
Gary Sinise
Josh Brolin
Chazz Palminteri
Frank Langella
David Strathairn
Terrence Howard
Tom Wilkinson
Richard Farnsworth
Woody Harrelson
Massimo Troisi
Nigel Hawthorne
Laurence Fishburne
Tom Hiddleston
Pete Postlethwaite
Jaye Davidson
Michael Lerner
Dennis Hopper
Casey Affleck
Andy Garcia
Bruce Davison
River Phoenix
Michael Shannon
Dean Stockwell
Dan Aykroyd
Eddie Murphy
Mark Wahlberg
Djimon Hounsou
Jackie Earle Haley
Hal Holbrook
Montgomery Clift
Guy Pearce
Daniel Craig
Ray Winstone
Stephen Rea
Kenneth Branagh
Edward James Olmos
Dexter Gordon
James Garner
Sam Waterston
Tom Hulce
Tom Courtenay
Tom Conti
Dudley Moore
Gary Busey
James Whitmore
Paul Winfield
Ryan O'Neal
Malcolm McDowell
Anthony Perkins
Kurtwood Smith
Alan Bates
Ron Moody
Oskar Werner
Trevor Howard
Rock Hudson
Dan O'Herlihy
Louis Calhern
Dan Dailey
Clifton Webb
Lew Ayres
Glenn Ford
Michael Redgrave
Cornel Wilde
Alexander Knox
Lee Strasberg
Mickey Rooney
Walter Pidgeon
Ian Holm
Monty Woolley
Raymond Massey
Franchot Tone
Leslie Howard
Alfred Lunt
Jackie Chan
Jacques Chevalier
Richard Barthelmess
David Paymer
Graham Greene
Vincent Gardenia
Tom Berenger
Eric Roberts
Burgess Meredith
Klaus Maria Brandauer
Robert Loggia
Adolph Caesar
Pat Morita
Rip Torn
John Lithgow
Charles Durning
Donnie Yen
James Coco
Jonathan Rhys Meyers
Frederic Forrest
Jet Li
Jack Warden
Mikhail Baryshnikov
Ned Beatty
Bruce Lee
Brad Dourif
Bruce Willis
Akshay Kumar
Michael V. Gazzo
Eddie Albert
Richard Jaeckel
Chief Dan George
Anthony Quayle
Rupert Crosse
Elliott Gould
Seymour Cassel
Daniel Massey
Jack Wild
Vincent Price
Gene Wilder
Michael J. Pollard
John Cassavetes
Robert Shaw
George Segal
Lee J. Cobb
Mako
Frank Finlay
Richard Widmark
Ian Bannen
Lee Tracy
Terence Stamp
Peter Falk
Jackie Gleason
Ranbir Kapoor
Chill Wills
Sal Mineo
Jack Kruschen
Arthur O'Connell
Theodore Bikel
Sylvester Stallone
Richard Gere
Sessue Hayakawa
Robert Stack
Tom Tully
Takashi Shimura
Danny Glover
Arthur Hunnicutt
Erich von Stroheim
Jeff Chandler
Arnold Schwarzenegger
Robert Ryan
Peter Fonda
Idris Elba
Daniel Brühl
Michael Chekhov
Hume Cronyn
Oscar Isaac
Miles Teller
James Gandolfini
Michael B. Jordan
Andy Serkis
Vincent Gallo
Boris Karloff
Antonio Banderas
Sydney Greenstreet
James Stephenson
Brian Donlevy
Brian Aherne
Stuart Erwin
Jean-Claude Van Damme
Sam Rockwell
Leslie Nielsen
Simon Pegg
James Spader
Sean Bean
Pierce Brosnan
Eric Bana
Roger Moore
Irrfan Khan
Steve Buscemi
Jean-Louis Trintignant
Ulrich Mühe
Joseph Cotten
Barry Pepper
Charles Bronson
Jean Renoir
Choi Min-sik
Ewan McGregor
Paresh Rawal
Ricardo Gandara
Amjad Khan
Christopher Lloyd
Ben Foster
Jeff Daniels
Stanley Tucci
Donald Sutherland
Ken Watanabe
Burt Reynolds
Tim Roth
Vin Diesel
Sterling Hayden
James Cromwell
Joel Edgerton
Ray Liotta
Jon Hamm
John Goodman
Mark Hamill
Stellan Skarsgård
Danny DeVito
Vince Vaughn
Dennis Quaid
Brian Cox
Brendan Gleeson
David Oyelowo
James McAvoy
Jonathan Pryce
Steve Coogan
Sacha Baron Cohen
Chris Pratt
Aaron Eckhart
Sam Worthington
Alfred Molina
Liev Schreiber
Val Kilmer
Randy Quaid
Wesley Snipes
Mark Strong
Patrick Wilson
