Name
James Cameron
Hayao Miyazaki
Quentin Tarantino
Stanley Kubrick
Ridley Scott
Billy Wilder
Elia Kazan
Sergio Leone
Akira Kurosawa
Steven Spielberg
Joseph L. Mankiewicz
Charles Chaplin
John Carpenter
David Lynch
William Wyler
Howard Hawks
Martin Scorsese
Frank Capra
John Ford
Alfred Hitchcock
Fritz Lang
Yimou Zhang
Mike Nichols
John Huston
Michael Curtiz
Buster Keaton
David Fincher
Paul Verhoeven
Sidney Lumet
Francis Ford Coppola
Stanley Kramer
Otto Preminger
Ernst Lubitsch
Joel Coen
Woody Allen
Clint Eastwood
David Cronenberg
Tim Burton
Wes Craven
Walter Hill
Sam Peckinpah
David Lean
Robert Zemeckis
John Woo
Orson Welles
George Stevens
Peter Jackson
Chia-Liang Liu
Jackie Chan
Cheh Chang
Damien Chazelle
Joss Whedon
Anthony Russo
Christopher McQuarrie
George Cukor
Masaki Kobayashi
Satoshi Kon
Yoshiaki Kawajiri
Oliver Stone
Richard Donner
Hideaki Anno
Shin'ichirô Watanabe
Sam Mendes
Brian De Palma
Brad Bird
Dario Argento
Mario Bava
Lucio Fulci
Ang Lee
Kar-Wai Wong
Sammo Kam-Bo Hung
Woo-Ping Yuen
Yuen Chor
Ron Howard
Terrence Malick
Paul Thomas Anderson
Darren Aronofsky
Tony Scott
John McTiernan
Robert Wise
Fred Zinnemann
Preston Sturges
Richard Brooks
Blake Edwards
William A. Wellman
Cecil B. DeMille
Park Chan-Wook
Jee-woon Kim
Bong Joon Ho
Sam Raimi
Joe Dante
John Landis
Alfonso Cuarón
Vincente Minnelli
Robert Siodmak
Edmund Goulding
Raoul Walsh
John Sturges
Nicholas Ray
Takashi Miike
Christopher Nolan
Alejandro G. Iñárritu
Danny Boyle
George Miller
Lasse Hallström
Rob Reiner
William Friedkin
Roman Polanski
Wes Anderson
Denis Villeneuve
Mel Gibson
John Frankenheimer
King Vidor
Jules Dassin
Douglas Sirk
Mervyn LeRoy
W.S. Van Dyke
John Hughes
Kevin Smith
Harold Ramis
Ivan Reitman
Frank Darabont
Tobe Hooper
George A. Romero
Stuart Gordon
Hideo Gosha
Norifumi Suzuki
Yasuzô Masumura
Kenji Mizoguchi
Kenji Misumi
Seijun Suzuki
Yôji Yamada
Isao Takahata
Mamoru Oshii
Makoto Shinkai
Mamoru Hosoda
King Hu
Chung Sun
Meng-Hua Ho
Kang Cheng
Chun-Ku Lu
Sergio Martino
Umberto Lenzi
Sergio Corbucci
Terence Fisher
Val Guest
Roger Corman
Josef von Sternberg
F.W. Murnau
D.W. Griffith
Gareth Evans
Zack Snyder
Robert Rodriguez
Matt Reeves
James Gunn
Guillermo del Toro
Michael Mann
Curtis Hanson
Cameron Crowe
Ben Affleck
Jack Hill
Jacques Tourneur
Don Siegel
Samuel Fuller
Robert Aldrich
Anthony Mann
Edward Dmytryk
Sam Wood
Henri-Georges Clouzot
Jean Renoir
James Whale
Tod Browning
Rouben Mamoulian
Matthew Vaughn
Shane Black
Doug Liman
David Yates
Antoine Fuqua
David Ayer
Frank Oz
Peter Weir
Philip Kaufman
Taylor Hackford
Milos Forman
Kathryn Bigelow
Katsuhiro Ôtomo
Hiromasa Yonebayashi
Masaaki Yuasa
Hark Tsui
Siu-Tung Ching
Corey Yuen
Wilson Yip
Johnnie To
Kim Ki-duk
Ha Yoo
Michael Bay
Wolfgang Petersen
Jean-Pierre Jeunet
Victor Fleming
Lewis Milestone
Kinji Fukasaku
Yasujirô Ozu
Takeshi Kitano
Sion Sono
Kiyoshi Kurosawa
Tetsuya Nakashima
Teruo Ishii
Takashi Ishii
Harold Lloyd
Busby Berkeley
William Dieterle
Lloyd Bacon
Mark Sandrich
Mitchell Leisen
Gregory La Cava
Leo McCarey
Michael Powell
Carol Reed
Phil Karlson
Jack Conway
John Cromwell
Henry Hathaway
Henry King
Alan Parker
James Mangold
David O. Russell
S. Craig Zahler
Martin McDonagh
Christophe Gans
Stephen Frears
Mike Flanagan
James Wan
Joel Schumacher
Stephen Daldry
John Badham
Steve McQueen
Lars von Trier
Anders Thomas Jensen
Nicolas Winding Refn
Lasse Spang Olsen
Thomas Vinterberg
Tom Ford
J.A. Bayona
Edgar Wright
Gore Verbinski
Alexander Payne
Jay Roach
Luc Besson
Ingmar Bergman
Joseph Kosinski
Drew Goddard
Steven Soderbergh
Bradley Cooper
J.J. Abrams
Michael Dougherty
Andy Muschietti
Cary Joji Fukunaga
Neil Marshall
Gavin O'Connor
Jon Favreau
Aaron Sorkin
Richard Linklater
Peter Berg
Chad Stahelski
David Leitch
Gareth Edwards
Martin Brest
Martin Campbell
James Ivory
Spike Lee
Adrian Lyne
Roger Donaldson
Barry Levinson
Lawrence Kasdan
James L. Brooks
Phillip Noyce
F. Gary Gray
Edward Zwick
Terry Zwigoff
Peyton Reed
Rian Johnson
Andrew Davis
Peter Hyams
Rob Marshall
Mike Newell
Richard Curtis
Vincenzo Natali
Andrew Niccol
Jennifer Kent
Patty Jenkins
Sofia Coppola
Tom Hooper
Joe Wright
Todd Haynes
Todd Field
Todd Phillips
Rupert Wyatt
Taika Waititi
Renny Harlin
Kenneth Branagh
Jonathan Demme
Jonathan Lynn
Francis Lawrence
Kevin Reynolds
Ryan Coogler
